# unix time in nanoseconds, state label
1697567801941554375, START
1697567934492069273, A
1697568095660579236, IGNORE
1697568441204880629, B
1697572484035352553, IGNORE
1697572510396618059, C
1697576210286615490, IGNORE
1697576367274546508, D
1697578021810746751, IGNORE
1697578629005230994, E
1697578841804823782, IGNORE
1697578987373528372, F
1697579988503259839, IGNORE
1697580794793126368, G
1697580984262366625, IGNORE
1697581098626142253, H
1697581290562150683, IGNORE
1697581538602956229, I
1697581550594730018, J
1697582052288681190, K
1697582642917383760, L
1697582644933177116, IGNORE
1697583138902680039, M
